Points_0,Points_1,Points_2
21.4616,3.3776,0
22.4726,3.3776,0
21.9671,2.50208,0
22.9781,2.50208,0
20.9561,2.50208,0
19.4397,3.3776,0
20.4507,3.3776,0
19.9452,2.50208,0
18.9342,2.50208,0
22.4726,1.62656,0
23.4836,1.62656,0
22.9781,0.751041,0
23.989,0.751041,0
21.9671,0.751041,0
25,0.751041,0
24,0,0
22,0,0
23,0,0
18.4287,1.62656,0
19.4397,1.62656,0
18.9342,0.751041,0
19.9452,0.751041,0
17.9233,0.751041,0
20.9561,0.751041,0
20,0,0
18,0,0
19,0,0
21,0,0
20.4507,1.62656,0
21.4616,1.62656,0
12.3629,5.12864,0
13.3739,5.12864,0
12.8684,4.25312,0
13.8794,4.25312,0
11.8575,4.25312,0
13.3739,3.3776,0
14.3849,3.3776,0
13.8794,2.50208,0
14.8904,2.50208,0
12.8684,2.50208,0
11.352,3.3776,0
12.3629,3.3776,0
11.8575,2.50208,0
10.8465,2.50208,0
14.3849,1.62656,0
15.3958,1.62656,0
14.8904,0.751041,0
15.9013,0.751041,0
13.8794,0.751041,0
16.9123,0.751041,0
16,0,0
14,0,0
15,0,0
10.341,1.62656,0
11.352,1.62656,0
10.8465,0.751041,0
11.8575,0.751041,0
9.83554,0.751041,0
12.8684,0.751041,0
12,0,0
11,0,0
10,0,0
13,0,0
12.3629,1.62656,0
13.3739,1.62656,0
17,0,0
16.4068,1.62656,0
15.9013,2.50208,0
16.9123,2.50208,0
17.4178,1.62656,0
17.9233,2.50208,0
15.3958,3.3776,0
14.8904,4.25312,0
15.9013,4.25312,0
14.3849,5.12864,0
16.4068,5.12864,0
15.3958,5.12864,0
18.4287,3.3776,0
18.9342,4.25312,0
17.9233,4.25312,0
18.4287,5.12864,0
17.4178,5.12864,0
19.4397,5.12864,0
16.9123,4.25312,0
17.4178,3.3776,0
16.4068,3.3776,0
2.75879,9.50625,0
3,10,0
2,10,0
1.74782,9.50625,0
1,10,0
0.73686,9.50625,0
0,10,0
0,9,0
2.25331,8.63073,0
3.26427,8.63073,0
2.75879,7.75521,0
3.76975,7.75521,0
1.74782,7.75521,0
3.26427,6.87969,0
4.27523,6.87969,0
3.76975,6.00417,0
4.78072,6.00417,0
2.75879,6.00417,0
1.24234,6.87969,0
2.25331,6.87969,0
1.74782,6.00417,0
0.73686,6.00417,0
0.231378,6.87969,0
0,7,0
0,6,0
0.73686,7.75521,0
0,8,0
1.24234,8.63073,0
0.231378,8.63073,0
4.27523,5.12864,0
5.2862,5.12864,0
4.78072,4.25312,0
5.79168,4.25312,0
3.76975,4.25312,0
5.2862,3.3776,0
6.29716,3.3776,0
5.79168,2.50208,0
6.80265,2.50208,0
4.78072,2.50208,0
3.26427,3.3776,0
4.27523,3.3776,0
3.76975,2.50208,0
2.75879,2.50208,0
6.29716,1.62656,0
7.30813,1.62656,0
6.80265,0.751041,0
7.81361,0.751041,0
5.79168,0.751041,0
9,0,0
8.82457,0.751041,0
8,0,0
7,0,0
6,0,0
2.25331,1.62656,0
3.26427,1.62656,0
2.75879,0.751041,0
3.76975,0.751041,0
1.74782,0.751041,0
5,0,0
